antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Slope_Flat, BP_Normal","FastingBS_Normal, ECG_Normal",0.17375886524822695,0.45390070921985815,0.12411347517730496,0.7142857142857143,1.5736607142857144,1.0,0.045244203007896985,1.9113475177304966,0.4412017167381974,0.24647887323943665,0.476808905380334,0.49386160714285715
"Age_Middle, ECG_Normal, Oldpeak_Moderate","Sex_Male, FastingBS_Normal, ChestPain_ASY, Slope_Flat",0.14184397163120568,0.4929078014184397,0.1099290780141844,0.7749999999999999,1.5723021582733812,1.0,0.04001307781298728,2.253743104806934,0.42415355905091984,0.20945945945945948,0.5562937062937061,0.4990107913669064
"Sex_Male, ECG_Normal, ChestPain_ASY, Oldpeak_Moderate","Slope_Flat, Age_Middle, FastingBS_Normal",0.16312056737588654,0.4326241134751773,0.1099290780141844,0.6739130434782609,1.5577334283677833,1.0,0.03935918716362356,1.7399527186761228,0.4278294149808639,0.22627737226277375,0.4252717391304348,0.4640057020669993
"Slope_Flat, BP_Normal, Sex_Male","FastingBS_Normal, ECG_Normal",0.16312056737588654,0.45390070921985815,0.11347517730496454,0.6956521739130435,1.5326086956521738,1.0,0.039434636084703975,1.7943262411347516,0.4152542372881355,0.22535211267605634,0.4426877470355731,0.47282608695652173
"ExAngina_Yes, Slope_Flat, ChestPain_ASY, MaxHR_Low, ECG_Normal","FastingBS_Normal, Age_Middle",0.1453900709219858,0.4787234042553192,0.10638297872340426,0.7317073170731707,1.5284552845528454,1.0,0.03678134902670892,1.942940038684719,0.40456431535269705,0.20547945205479454,0.48531607765057244,0.47696476964769646
"Age_Middle, ECG_Normal, Chol_High","Slope_Flat, FastingBS_Normal, ChestPain_ASY, ExAngina_Yes",0.16666666666666666,0.4326241134751773,0.1099290780141844,0.6595744680851064,1.5245901639344264,1.0,0.03782505910165486,1.6666666666666667,0.4129032258064517,0.2246376811594203,0.40000000000000013,0.4568364143704221
"Sex_Male, ChestPain_ASY, BP_Stage1, ExAngina_Yes",MaxHR_Low,0.18439716312056736,0.42907801418439717,0.12056737588652482,0.6538461538461539,1.5238397965670694,1.0,0.04144660731351542,1.649330181245075,0.4214833759590793,0.2446043165467626,0.39369326325848064,0.467418944691672
"Sex_Male, Age_Senior, Slope_Flat, ExAngina_Yes",MaxHR_Low,0.17375886524822695,0.42907801418439717,0.11347517730496454,0.6530612244897959,1.522010457075392,1.0,0.03891906845732106,1.6455986649979137,0.4151019313304721,0.2318840579710145,0.39231841805044987,0.4587620172035756
"Slope_Flat, ECG_Normal, ChestPain_ASY, Oldpeak_Moderate","FastingBS_Normal, Age_Middle",0.15602836879432624,0.4787234042553192,0.11347517730496454,0.7272727272727272,1.519191919191919,1.0,0.03878074543534027,1.9113475177304955,0.4049369747899159,0.2176870748299319,0.4768089053803338,0.4821548821548821
"Sex_Male, BP_Stage1, ExAngina_Yes",MaxHR_Low,0.2127659574468085,0.42907801418439717,0.13829787234042554,0.65,1.5148760330578512,1.0,0.047004677833106995,1.6312056737588654,0.43173943173943174,0.2746478873239437,0.3869565217391305,0.4861570247933884
"Oldpeak_Mild, BP_Prehypertension","Slope_Flat, Age_Middle, ExAngina_Yes",0.16312056737588654,0.4326241134751773,0.10638297872340426,0.6521739130434783,1.5074839629365644,1.0,0.035813087872843416,1.6312056737588652,0.4022598870056497,0.2173913043478261,0.3869565217391305,0.4490377761938703
"Sex_Male, ECG_Normal, Oldpeak_Moderate, Slope_Flat","FastingBS_Normal, Age_Middle, ChestPain_ASY",0.1702127659574468,0.42907801418439717,0.1099290780141844,0.6458333333333334,1.5051652892561984,1.0,0.036894522408329564,1.612015018773467,0.40446650124069483,0.2246376811594203,0.37965838509316774,0.45101584022038566
"Age_Middle, ChestPain_ASY, ECG_Normal, Chol_High","Slope_Flat, FastingBS_Normal, ExAngina_Yes",0.1453900709219858,0.5035460992907801,0.1099290780141844,0.7560975609756099,1.5015458605290282,1.0,0.036718474925808584,2.0354609929078027,0.3908445991165843,0.20394736842105268,0.5087108013937285,0.48720371006526975
"ECG_Normal, ChestPain_ASY, Oldpeak_Moderate","Sex_Male, Age_Middle, FastingBS_Normal",0.1773049645390071,0.4397163120567376,0.11702127659574468,0.66,1.5009677419354839,1.0,0.039057391479301845,1.647893199833125,0.4056948798328109,0.23404255319148937,0.3931645569620253,0.46306451612903227
"Age_Middle, ChestPain_ASY, ECG_Normal, Oldpeak_Moderate","Sex_Male, FastingBS_Normal, Slope_Flat",0.1276595744680851,0.574468085106383,0.1099290780141844,0.8611111111111113,1.498971193415638,1.0,0.036592726724007846,3.0638297872340456,0.38158929976396533,0.18562874251497005,0.6736111111111115,0.5262345679012347
"Sex_Male, ECG_Normal, ChestPain_ASY, Oldpeak_Moderate","FastingBS_Normal, Age_Middle",0.16312056737588654,0.4787234042553192,0.11702127659574468,0.717391304347826,1.498550724637681,1.0,0.03893164327750112,1.8445171849427164,0.3975346687211093,0.222972972972973,0.4578527062999112,0.48091787439613526
"Slope_Flat, Age_Middle, MaxHR_Low, ExAngina_Yes","FastingBS_Normal, ECG_Normal, ChestPain_ASY",0.1773049645390071,0.40070921985815605,0.10638297872340426,0.6,1.4973451327433627,1.0,0.035335244706000704,1.4982269503546097,0.40373563218390807,0.22556390977443608,0.33254437869822484,0.4327433628318584
"Age_Middle, ChestPain_ASY, Chol_Borderline","Sex_Male, BP_Prehypertension",0.1773049645390071,0.40070921985815605,0.10638297872340426,0.6,1.4973451327433627,1.0,0.035335244706000704,1.4982269503546097,0.40373563218390807,0.22556390977443608,0.33254437869822484,0.4327433628318584
"BP_Stage1, ExAngina_Yes","Sex_Male, MaxHR_Low",0.22695035460992907,0.4078014184397163,0.13829787234042554,0.609375,1.4942934782608697,1.0,0.04574719581509985,1.5160283687943263,0.42789931780757473,0.27857142857142864,0.34038173652694614,0.47425271739130437
"Slope_Flat, Oldpeak_Mild, ChestPain_ASY, FastingBS_Normal","ECG_Normal, ExAngina_Yes",0.1879432624113475,0.40425531914893614,0.11347517730496454,0.6037735849056604,1.4935451837140021,1.0,0.037498113776973,1.50354609929078,0.4069323144104805,0.23703703703703702,0.3349056603773585,0.4422376696458126
"Slope_Flat, BP_Stage1, Sex_Male, ExAngina_Yes",MaxHR_Low,0.1773049645390071,0.42907801418439717,0.11347517730496454,0.64,1.4915702479338844,1.0,0.03739751521553242,1.5858944050433412,0.4005926724137931,0.23021582733812948,0.3694409937888199,0.4522314049586777
"BP_Stage1, ChestPain_ASY, ExAngina_Yes","Sex_Male, MaxHR_Low",0.19858156028368795,0.4078014184397163,0.12056737588652482,0.6071428571428571,1.4888198757763975,1.0,0.03958553392686484,1.5074145712443583,0.40968245705361794,0.2481751824817518,0.3366124893071,0.45139751552795027
"Slope_Flat, ECG_Normal, MaxHR_Low, ExAngina_Yes","FastingBS_Normal, Age_Middle, ChestPain_ASY",0.16666666666666666,0.42907801418439717,0.10638297872340426,0.6382978723404256,1.4876033057851241,1.0,0.03486997635933807,1.5784313725490198,0.3933333333333334,0.2173913043478261,0.36645962732919257,0.4431158783189731
"Sex_Male, Slope_Flat, ChestPain_ASY, BP_Prehypertension, ECG_Normal","FastingBS_Normal, Age_Middle",0.1595744680851064,0.4787234042553192,0.11347517730496454,0.7111111111111111,1.4854320987654321,1.0,0.03708314471103062,1.804418985270049,0.38884493670886067,0.21621621621621617,0.4458049886621316,0.4740740740740741
"Age_Middle, ECG_Normal, Chol_High, ExAngina_Yes","Slope_Flat, FastingBS_Normal, ChestPain_ASY",0.1347517730496454,0.549645390070922,0.1099290780141844,0.8157894736842105,1.4842105263157896,1.0,0.035863387153563714,2.4447821681864235,0.37704918032786894,0.19135802469135804,0.5909656029838375,0.5078947368421053
"ECG_Normal, ChestPain_ASY, Oldpeak_Moderate","Slope_Flat, Age_Middle, FastingBS_Normal",0.1773049645390071,0.4326241134751773,0.11347517730496454,0.64,1.4793442622950819,1.0,0.03676877420652884,1.5760441292356184,0.3938577586206896,0.22857142857142856,0.36550000000000005,0.45114754098360654
"Age_Middle, ECG_Normal, MaxHR_Low, ExAngina_Yes","FastingBS_Normal, ChestPain_ASY",0.11702127659574468,0.6560283687943262,0.11347517730496454,0.9696969696969696,1.478132678132678,1.0,0.03670590010562849,11.351063829787202,0.36634036144578314,0.17204301075268819,0.9119025304592312,0.5713349713349714
"Slope_Flat, Age_Middle, MaxHR_Low, FastingBS_Normal","Sex_Male, ECG_Normal, ChestPain_ASY",0.1950354609929078,0.41843971631205673,0.12056737588652482,0.6181818181818182,1.4773497688751926,1.0,0.03895679291786126,1.5231340763255654,0.4013993262503238,0.2446043165467626,0.3434589800443459,0.4531587057010786
"Oldpeak_Moderate, BP_Prehypertension","Sex_Male, Age_Middle, ExAngina_Yes",0.1773049645390071,0.44680851063829785,0.11702127659574468,0.66,1.4771428571428573,1.0,0.0377999094612947,1.6270337922403006,0.3926332288401254,0.23076923076923078,0.3853846153846155,0.460952380952381
"ExAngina_Yes, Slope_Flat, Age_Middle, MaxHR_Low, ECG_Normal","FastingBS_Normal, ChestPain_ASY",0.1099290780141844,0.6560283687943262,0.10638297872340426,0.9677419354838709,1.4751525719267653,1.0,0.034266384990694634,10.66312056737586,0.3618857901726428,0.16129032258064518,0.9062188227469236,0.5649520488230165
"Age_Middle, ECG_Normal, MaxHR_Low, ExAngina_Yes","Sex_Male, FastingBS_Normal, ChestPain_ASY",0.11702127659574468,0.5957446808510638,0.10283687943262411,0.8787878787878787,1.475108225108225,1.0,0.033122076354308125,3.3351063829787204,0.36476942251765676,0.1686046511627907,0.7001594896331735,0.5257034632034632
"Slope_Flat, Oldpeak_Moderate, BP_Prehypertension","Sex_Male, Age_Middle, ExAngina_Yes",0.15602836879432624,0.44680851063829785,0.10283687943262411,0.659090909090909,1.4751082251082248,1.0,0.033122076354308125,1.6226950354609924,0.38162851347435517,0.20567375886524822,0.38374125874125853,0.44462481962481953
"ChestPain_ASY, Oldpeak_Moderate, BP_Prehypertension","Sex_Male, Age_Middle, ExAngina_Yes",0.15602836879432624,0.44680851063829785,0.10283687943262411,0.659090909090909,1.4751082251082248,1.0,0.033122076354308125,1.6226950354609924,0.38162851347435517,0.20567375886524822,0.38374125874125853,0.44462481962481953
"Sex_Male, ECG_Normal, ChestPain_ASY, BP_Prehypertension","FastingBS_Normal, Age_Middle",0.18085106382978725,0.4787234042553192,0.1276595744680851,0.7058823529411763,1.4745098039215683,1.0,0.041081937528293325,1.7723404255319135,0.3928571428571427,0.23999999999999994,0.43577430972388925,0.48627450980392145
"ExAngina_Yes, Sex_Male, Age_Middle, MaxHR_Low, ECG_Normal","FastingBS_Normal, ChestPain_ASY",0.10638297872340426,0.6560283687943262,0.10283687943262411,0.9666666666666666,1.4735135135135133,1.0,0.0330466274332277,10.31914893617018,0.3596059113300492,0.15591397849462363,0.9030927835051543,0.5617117117117116
"Sex_Male, Age_Middle, ChestPain_ASY, Chol_Borderline",BP_Prehypertension,0.16312056737588654,0.4432624113475177,0.10638297872340426,0.6521739130434783,1.471304347826087,1.0,0.03407776268799356,1.6006205673758869,0.3827683615819209,0.2127659574468085,0.3752423151481584,0.44608695652173913
"Sex_Male, BP_Prehypertension, ECG_Normal, ExAngina_Yes","FastingBS_Normal, Age_Middle, ChestPain_ASY",0.16312056737588654,0.42907801418439717,0.10283687943262411,0.6304347826086956,1.469277757815307,1.0,0.03284543031034655,1.544847726324572,0.3816481589713617,0.21014492753623185,0.3526870105320009,0.4350521020481494
"Sex_Male, Slope_Flat, Chol_High, ChestPain_ASY, ECG_Normal","FastingBS_Normal, Age_Middle",0.16666666666666666,0.4787234042553192,0.11702127659574468,0.7021276595744682,1.4666666666666668,1.0,0.03723404255319149,1.7500000000000004,0.3818181818181818,0.22147651006711408,0.4285714285714288,0.47328605200945634
"Slope_Flat, BP_Normal, ChestPain_ASY, FastingBS_Normal",ECG_Normal,0.13829787234042554,0.5425531914893617,0.1099290780141844,0.7948717948717948,1.4650578179989946,1.0,0.03489512599969821,2.2300531914893615,0.3683791318199921,0.19254658385093168,0.5515802027429934,0.4987430869783811
"Sex_Male, Age_Middle, MaxHR_Low, FastingBS_Normal","Slope_Flat, ECG_Normal, ChestPain_ASY",0.19858156028368795,0.4148936170212766,0.12056737588652482,0.6071428571428571,1.4633699633699633,1.0,0.03817715406669683,1.4893617021276595,0.3951067152524726,0.2446043165467626,0.3285714285714285,0.44887057387057383
"Slope_Flat, BP_Normal","Sex_Male, ECG_Normal, ChestPain_ASY",0.17375886524822695,0.41843971631205673,0.10638297872340426,0.6122448979591837,1.463161535800761,1.0,0.03367536844223128,1.499813363195222,0.38311874105865523,0.218978102189781,0.3332503733200598,0.43324109304738845
"BP_Prehypertension, ECG_Normal, ExAngina_Yes","FastingBS_Normal, Age_Middle, ChestPain_ASY",0.18085106382978725,0.42907801418439717,0.11347517730496454,0.6274509803921569,1.4623237724842002,1.0,0.035875961973743764,1.532474804031355,0.3859577922077921,0.22857142857142856,0.34746072341980266,0.4459568951547561
"Slope_Flat, ECG_Normal, ChestPain_ASY, BP_Prehypertension","FastingBS_Normal, Age_Middle",0.1773049645390071,0.4787234042553192,0.12411347517730496,0.7000000000000001,1.4622222222222223,1.0,0.03923343896182284,1.7375886524822697,0.3842364532019704,0.23333333333333334,0.4244897959183675,0.47962962962962963
"ECG_Normal, ChestPain_ASY, BP_Prehypertension","Sex_Male, Age_Middle, FastingBS_Normal",0.19858156028368795,0.4397163120567376,0.1276595744680851,0.6428571428571427,1.461981566820276,1.0,0.040340023137669115,1.5687943262411341,0.3942969518190756,0.24999999999999994,0.3625678119349002,0.46658986175115197
"FastingBS_Normal, Age_Middle, MaxHR_Low","Slope_Flat, ECG_Normal, ChestPain_ASY",0.21631205673758866,0.4148936170212766,0.13120567375886524,0.6065573770491803,1.4619588062211013,1.0,0.04145918213369548,1.487145390070922,0.40320410908646204,0.2624113475177305,0.32757078986587185,0.4613983466442483
"Slope_Flat, BP_Normal, ChestPain_ASY","Sex_Male, ECG_Normal",0.14893617021276595,0.48936170212765956,0.10638297872340426,0.7142857142857143,1.4596273291925466,1.0,0.03349932095971028,1.7872340425531918,0.3700000000000001,0.2,0.44047619047619047,0.4658385093167702
"Slope_Flat, ECG_Normal, ChestPain_ASY, MaxHR_Low","Sex_Male, Age_Middle, FastingBS_Normal",0.1879432624113475,0.4397163120567376,0.12056737588652482,0.6415094339622641,1.4589166159464393,1.0,0.03792565766309541,1.562896603210153,0.3873619316722322,0.23776223776223773,0.3601624074516359,0.45785149117468044
"Slope_Flat, ECG_Normal, ChestPain_ASY, MaxHR_Low","FastingBS_Normal, Age_Middle",0.1879432624113475,0.4787234042553192,0.13120567375886524,0.6981132075471698,1.4582809224318656,1.0,0.04123283537045419,1.7267287234042548,0.3869939808804436,0.24503311258278143,0.42087023488640735,0.4860936408106219
"Sex_Male, FastingBS_Normal, BP_Stage1",MaxHR_Low,0.1702127659574468,0.42907801418439717,0.10638297872340426,0.625,1.4566115702479339,1.0,0.03334842311754942,1.5224586288416075,0.37777777777777777,0.2158273381294964,0.34316770186335405,0.4364669421487603
"Age_Middle, ECG_Normal, Oldpeak_Moderate","Slope_Flat, FastingBS_Normal, ChestPain_ASY",0.14184397163120568,0.549645390070922,0.11347517730496454,0.7999999999999999,1.455483870967742,1.0,0.0355112921885217,2.2517730496453896,0.36466942148760323,0.19631901840490798,0.5559055118110235,0.5032258064516129
"Slope_Flat, ECG_Normal, ChestPain_ASY, BP_Prehypertension","Sex_Male, Age_Middle, FastingBS_Normal",0.1773049645390071,0.4397163120567376,0.11347517730496454,0.64,1.4554838709677418,1.0,0.0355112921885217,1.5563435776201735,0.3803879310344827,0.22535211267605634,0.3574683544303797,0.44903225806451613
"ECG_Normal, ChestPain_ASY, BP_Prehypertension","FastingBS_Normal, Age_Middle",0.19858156028368795,0.4787234042553192,0.13829787234042554,0.6964285714285714,1.4547619047619047,1.0,0.043232231779085556,1.717146433041301,0.39006126616746084,0.2565789473684211,0.4176384839650145,0.4926587301587302
"BP_Prehypertension, ChestPain_ASY, ECG_Normal, ExAngina_Yes","FastingBS_Normal, Age_Middle",0.16312056737588654,0.4787234042553192,0.11347517730496454,0.6956521739130435,1.4531400966183574,1.0,0.035385543986720974,1.7127659574468082,0.37261652542372864,0.2147651006711409,0.4161490683229813,0.46634460547504025
"Age_Middle, ECG_Normal, MaxHR_Low","Sex_Male, FastingBS_Normal, ChestPain_ASY, ExAngina_Yes",0.14893617021276595,0.475177304964539,0.10283687943262411,0.6904761904761904,1.4530916844349677,1.0,0.03206579145918213,1.6955810147299502,0.36637931034482757,0.19727891156462582,0.41023166023165997,0.45344705046197575
"Sex_Male, Slope_Flat, Age_Middle, MaxHR_Low, FastingBS_Normal","ECG_Normal, ChestPain_ASY",0.1773049645390071,0.46808510638297873,0.12056737588652482,0.6799999999999999,1.4527272727272726,1.0,0.03757356269805341,1.6622340425531912,0.37880324543610544,0.2297297297297297,0.39839999999999987,0.46878787878787875
"Age_Middle, ECG_Normal, MaxHR_Low","FastingBS_Normal, ChestPain_ASY, ExAngina_Yes",0.14893617021276595,0.524822695035461,0.11347517730496454,0.7619047619047619,1.4517374517374517,1.0,0.03531009506564056,1.9957446808510635,0.36562500000000003,0.20253164556962025,0.49893390191897646,0.48906048906048905
"Sex_Male, ECG_Normal, ChestPain_ASY, BP_Prehypertension","Slope_Flat, Age_Middle, FastingBS_Normal",0.18085106382978725,0.4326241134751773,0.11347517730496454,0.6274509803921569,1.4503375120540019,1.0,0.03523464614456012,1.5229563269876818,0.3790584415584415,0.22695035460992907,0.34338235294117647,0.444873031179685
"Sex_Male, Slope_Flat, ChestPain_ASY, MaxHR_Low, ECG_Normal","FastingBS_Normal, Age_Middle",0.17375886524822695,0.4787234042553192,0.12056737588652482,0.6938775510204082,1.4494331065759636,1.0,0.03738494039535234,1.7028368794326239,0.37528401918707394,0.2266666666666666,0.41274468971261974,0.47286470143613
"Slope_Flat, BP_Normal, ChestPain_ASY",ECG_Normal,0.14893617021276595,0.5425531914893617,0.11702127659574468,0.7857142857142857,1.4481792717086837,1.0,0.036215482118605716,2.1347517730496453,0.3636363636363637,0.20370370370370372,0.53156146179402,0.5007002801120448
"Sex_Male, Age_Middle, Chol_Borderline",BP_Prehypertension,0.1879432624113475,0.4432624113475177,0.12056737588652482,0.6415094339622641,1.447245283018868,1.0,0.03725919219355163,1.5530048525569242,0.3805548420241459,0.2361111111111111,0.35608700877298394,0.45675471698113207
"Sex_Male, ECG_Normal, BP_Prehypertension","FastingBS_Normal, Age_Middle, ChestPain_ASY",0.20567375886524822,0.42907801418439717,0.1276595744680851,0.6206896551724138,1.4465659732117413,1.0,0.03940948644434383,1.505157962604771,0.38864087301587286,0.2517482517482517,0.3356179053330478,0.4591051581647193
"Sex_Male, Age_Middle, ECG_Normal, Oldpeak_Moderate","Slope_Flat, FastingBS_Normal, ChestPain_ASY",0.13829787234042554,0.549645390070922,0.1099290780141844,0.7948717948717948,1.4461538461538461,1.0,0.033914290025652646,2.195478723404255,0.35802469135802484,0.1901840490797546,0.5445184736523319,0.49743589743589745
"Oldpeak_Mild, BP_Prehypertension","Age_Middle, ExAngina_Yes",0.16312056737588654,0.49645390070921985,0.11702127659574468,0.717391304347826,1.445031055900621,1.0,0.036039434636084694,1.7817785051827602,0.3680020544427323,0.21568627450980393,0.43876301285976727,0.47655279503105585
"ECG_Normal, ChestPain_ASY, MaxHR_Low, ExAngina_Yes","Slope_Flat, Age_Middle, FastingBS_Normal",0.1702127659574468,0.4326241134751773,0.10638297872340426,0.625,1.444672131147541,1.0,0.032744831748905995,1.5130023640661936,0.37094017094017095,0.2142857142857143,0.33906250000000004,0.4354508196721312
"ECG_Normal, ChestPain_ASY, BP_Prehypertension","Slope_Flat, Age_Middle, FastingBS_Normal",0.19858156028368795,0.4326241134751773,0.12411347517730496,0.625,1.444672131147541,1.0,0.038202303707056975,1.5130023640661936,0.3840707964601769,0.24475524475524474,0.33906250000000004,0.45594262295081966
"Age_Middle, ChestPain_ASY, Chol_Borderline",BP_Prehypertension,0.1773049645390071,0.4432624113475177,0.11347517730496454,0.64,1.44384,1.0,0.034882551179518134,1.546493301812451,0.37365301724137934,0.2237762237762238,0.35337579617834397,0.448
"Slope_Flat, ECG_Normal, Oldpeak_Moderate","Sex_Male, Age_Middle, FastingBS_Normal",0.18439716312056736,0.4397163120567376,0.11702127659574468,0.6346153846153847,1.4432382133995039,1.0,0.03593883607464414,1.533407988055245,0.37654808959156794,0.23076923076923078,0.34785783836416756,0.4503722084367246
"ExAngina_Yes, Sex_Male, ChestPain_ASY, BP_Prehypertension, ECG_Normal","FastingBS_Normal, Age_Middle",0.14893617021276595,0.4787234042553192,0.10283687943262411,0.6904761904761904,1.442328042328042,1.0,0.03153764901161912,1.684124386252045,0.3603448275862068,0.19594594594594594,0.4062196307094264,0.4526455026455026
"BP_Normal, ChestPain_ASY","FastingBS_Normal, ECG_Normal",0.18439716312056736,0.45390070921985815,0.12056737588652482,0.6538461538461539,1.4405048076923077,1.0,0.03686937276796942,1.5776201733648543,0.3749360613810742,0.23287671232876708,0.36613386613386617,0.4597355769230769
"Age_Middle, ECG_Normal, Oldpeak_Moderate","Slope_Flat, FastingBS_Normal, ExAngina_Yes",0.14184397163120568,0.5035460992907801,0.10283687943262411,0.7249999999999999,1.439788732394366,1.0,0.03141190080981841,1.8052869116698897,0.3559418637788543,0.18954248366013074,0.44607142857142834,0.46461267605633794
"Slope_Flat, BP_Normal, FastingBS_Normal","ECG_Normal, ChestPain_ASY",0.16312056737588654,0.46808510638297873,0.1099290780141844,0.6739130434782609,1.4397233201581028,1.0,0.03357476988079071,1.6312056737588652,0.36495352651722257,0.2108843537414966,0.3869565217391304,0.45438076416337286
"Slope_Flat, ECG_Normal, BP_Prehypertension, ExAngina_Yes","FastingBS_Normal, Age_Middle",0.1595744680851064,0.4787234042553192,0.1099290780141844,0.6888888888888889,1.4390123456790123,1.0,0.03353704542025049,1.6755319148936167,0.36300530828909755,0.2080536912751678,0.4031746031746032,0.45925925925925926
"ExAngina_Yes, Slope_Flat, Chol_High, ChestPain_ASY, ECG_Normal","FastingBS_Normal, Age_Middle",0.1595744680851064,0.4787234042553192,0.1099290780141844,0.6888888888888889,1.4390123456790123,1.0,0.03353704542025049,1.6755319148936167,0.36300530828909755,0.2080536912751678,0.4031746031746032,0.45925925925925926
"Slope_Flat, BP_Normal","ECG_Normal, ChestPain_ASY",0.17375886524822695,0.46808510638297873,0.11702127659574468,0.6734693877551021,1.4387755102040818,1.0,0.035687339671042706,1.628989361702128,0.36909871244635195,0.222972972972973,0.38612244897959197,0.46173469387755106
"Age_Middle, ECG_Normal, MaxHR_Low","Sex_Male, FastingBS_Normal, ChestPain_ASY",0.14893617021276595,0.5957446808510638,0.1276595744680851,0.857142857142857,1.4387755102040813,1.0,0.038931643277501135,2.8297872340425503,0.3583333333333334,0.2068965517241379,0.6466165413533831,0.5357142857142856
"Slope_Flat, ECG_Normal, MaxHR_Low","FastingBS_Normal, Age_Middle, ChestPain_ASY",0.2127659574468085,0.42907801418439717,0.13120567375886524,0.6166666666666667,1.4371900826446282,1.0,0.0399124792515467,1.4893617021276597,0.38641344046749454,0.2569444444444445,0.3285714285714286,0.4612258953168044
"Slope_Flat, Age_Middle, MaxHR_Low, FastingBS_Normal","ECG_Normal, ChestPain_ASY",0.1950354609929078,0.46808510638297873,0.13120567375886524,0.6727272727272726,1.4371900826446278,1.0,0.0399124792515467,1.625295508274231,0.37790213120609595,0.24666666666666667,0.38472727272727253,0.47651515151515145
"Age_Middle, ECG_Normal, Chol_High","Slope_Flat, FastingBS_Normal, ExAngina_Yes",0.16666666666666666,0.5035460992907801,0.12056737588652482,0.723404255319149,1.4366197183098595,1.0,0.036643026004728144,1.7948717948717954,0.3647058823529413,0.21935483870967742,0.442857142857143,0.4814204375187294
